Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Female,Loyal Customer,47,Business travel,Business,420,2,1,3,3,2,2,2,2,2,2,2,4,2,2,3,40.0
Female,Loyal Customer,59,Personal Travel,Eco,925,2,4,3,4,3,1,3,5,5,3,5,3,5,4,4,5.0
Female,disloyal Customer,29,Business travel,Business,829,1,1,1,2,1,1,1,1,5,3,4,3,4,1,0,0.0
Male,Loyal Customer,12,Personal Travel,Eco,588,1,4,1,2,2,1,2,2,5,4,4,3,5,2,0,0.0
Female,disloyal Customer,25,Business travel,Business,2475,1,4,2,3,2,3,3,5,3,4,5,3,5,3,0,28.0
Male,Loyal Customer,66,Personal Travel,Eco,636,3,5,3,4,1,3,1,1,5,2,5,4,5,1,18,26.0
Female,Loyal Customer,29,Business travel,Business,2327,3,5,5,5,3,3,3,3,3,1,3,3,4,3,115,103.0
Male,Loyal Customer,42,Business travel,Business,391,2,1,1,1,1,2,3,2,2,2,2,2,2,4,10,0.0
Female,Loyal Customer,12,Business travel,Business,2667,3,2,2,2,3,3,3,3,4,1,4,1,4,3,0,0.0
Male,Loyal Customer,50,Personal Travel,Eco Plus,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4.0
Male,Loyal Customer,28,Business travel,Business,3544,3,3,4,3,3,4,4,3,2,2,5,2,1,3,0,0.0
Female,Loyal Customer,51,Business travel,Eco Plus,1590,4,1,1,1,5,2,4,4,4,4,4,1,4,3,3,0.0
Male,Loyal Customer,36,Personal Travel,Eco,67,3,5,3,4,2,3,2,2,5,4,5,5,4,2,69,78.0
Male,Loyal Customer,51,Business travel,Business,3977,5,5,5,5,2,5,5,4,4,4,4,5,4,4,0,0.0
Female,Loyal Customer,17,Personal Travel,Eco,383,4,5,4,3,1,4,4,1,5,2,4,3,4,1,0,32.0
Male,Loyal Customer,29,Personal Travel,Eco,2475,2,1,2,2,5,2,5,5,4,3,2,4,2,5,0,0.0
Female,disloyal Customer,34,Business travel,Eco,563,1,3,1,3,2,1,2,2,3,3,4,4,4,2,0,0.0
Female,Loyal Customer,49,Business travel,Eco Plus,599,2,2,2,2,3,4,4,2,2,2,2,1,2,3,18,77.0
Female,Loyal Customer,58,Personal Travel,Eco,602,2,1,2,2,5,1,2,3,3,2,3,1,3,4,0,0.0
Male,Loyal Customer,51,Business travel,Eco,373,4,1,1,1,4,4,4,4,4,3,4,3,1,4,0,18.0
Male,Loyal Customer,46,Business travel,Business,2589,3,3,3,3,3,4,4,2,2,2,2,4,2,4,0,0.0
Male,Loyal Customer,54,Business travel,Business,3974,1,1,1,1,2,2,1,4,4,4,5,3,4,2,0,0.0
Male,Loyal Customer,39,Business travel,Business,404,3,3,3,3,2,3,3,5,5,4,5,1,5,3,37,33.0
Male,Loyal Customer,60,Business travel,Business,2430,4,4,4,4,5,4,4,5,5,5,5,4,5,5,0,0.0
Female,Loyal Customer,10,Personal Travel,Eco,493,3,5,3,3,3,3,3,3,3,4,5,5,4,3,0,0.0
Male,Loyal Customer,49,Personal Travel,Business,1069,1,4,1,4,2,5,5,1,1,1,1,3,1,4,0,0.0
Female,Loyal Customer,49,Business travel,Business,3496,3,3,3,3,4,5,4,4,4,4,4,3,4,3,0,0.0
Male,disloyal Customer,30,Business travel,Business,679,4,3,3,2,4,3,4,4,4,3,4,3,5,4,0,0.0
Female,Loyal Customer,60,Business travel,Eco,296,3,3,2,2,3,3,4,3,3,3,3,4,3,4,0,15.0
Female,disloyal Customer,22,Business travel,Eco,335,3,2,3,3,2,3,2,2,2,3,4,2,4,2,87,91.0
Male,disloyal Customer,27,Business travel,Eco,748,4,3,3,3,2,3,2,2,3,1,3,2,4,2,11,24.0
Male,Loyal Customer,51,Business travel,Business,3964,1,1,1,1,4,4,5,4,4,4,4,4,4,4,72,64.0
Male,Loyal Customer,60,Business travel,Business,1587,3,3,3,3,4,5,5,4,4,4,4,4,4,4,0,0.0
Female,Loyal Customer,35,Business travel,Business,1993,4,4,4,4,4,4,3,1,4,3,4,3,4,3,136,184.0
Female,Loyal Customer,56,Business travel,Business,3053,3,3,3,3,5,4,5,5,5,5,5,4,5,4,33,23.0
Female,Loyal Customer,56,Business travel,Business,383,3,3,3,3,2,2,3,3,3,2,3,3,3,1,0,0.0
Female,Loyal Customer,36,Business travel,Business,1009,3,4,3,3,2,4,4,3,3,2,3,4,3,3,0,0.0
Male,disloyal Customer,10,Business travel,Eco,622,3,3,3,3,3,3,3,3,1,2,4,1,4,3,0,11.0
Male,Loyal Customer,36,Personal Travel,Eco,544,3,5,3,1,4,3,4,4,3,2,4,4,4,4,15,22.0
Male,Loyal Customer,41,Business travel,Business,1024,2,4,2,2,3,5,5,4,4,4,4,4,4,4,2,0.0
Male,Loyal Customer,49,Business travel,Business,3651,3,3,3,3,5,5,5,4,4,4,4,3,4,3,0,0.0
Male,Loyal Customer,21,Personal Travel,Eco,759,3,4,2,2,3,2,3,3,5,3,4,5,4,3,0,0.0
Female,disloyal Customer,39,Business travel,Business,719,1,1,1,5,1,1,1,1,5,5,5,4,4,1,20,23.0
Male,Loyal Customer,43,Business travel,Business,1786,2,2,2,2,5,5,5,4,4,4,4,5,4,3,0,0.0
Female,Loyal Customer,57,Personal Travel,Eco Plus,372,1,3,1,4,4,2,4,2,2,1,4,3,2,1,60,54.0
Female,Loyal Customer,18,Personal Travel,Eco,1747,2,4,2,3,1,2,1,1,4,5,4,3,5,1,0,0.0
Female,Loyal Customer,67,Personal Travel,Eco,622,1,4,1,1,4,5,5,3,3,1,3,5,3,3,0,33.0
Female,Loyal Customer,52,Business travel,Business,1947,4,2,2,2,1,3,3,4,4,4,4,2,4,1,31,12.0
Male,Loyal Customer,25,Business travel,Business,1863,3,3,3,3,4,4,4,4,4,2,5,4,5,4,0,0.0
Female,Loyal Customer,44,Business travel,Business,2041,4,5,4,5,1,2,3,4,4,4,4,4,4,4,14,2.0
Male,Loyal Customer,33,Business travel,Business,1076,3,1,1,1,3,3,3,3,4,2,3,1,4,3,19,0.0
Male,Loyal Customer,42,Business travel,Business,308,1,1,1,1,3,4,4,1,1,1,1,3,1,4,18,25.0
Male,Loyal Customer,53,Business travel,Business,3876,4,4,4,4,3,4,4,3,3,3,3,5,3,4,76,71.0
Male,Loyal Customer,53,Business travel,Business,1243,5,5,5,5,3,4,5,4,4,4,4,3,4,4,0,0.0
Female,Loyal Customer,30,Business travel,Eco Plus,657,3,1,1,1,5,5,5,5,4,2,5,1,5,5,85,74.0
Male,Loyal Customer,49,Business travel,Business,2133,1,1,1,1,2,5,5,5,5,5,5,5,5,3,0,2.0
Female,Loyal Customer,61,Personal Travel,Eco,541,4,2,4,4,2,4,3,4,4,4,1,1,4,2,0,0.0
Male,Loyal Customer,40,Business travel,Eco,2586,5,3,3,3,5,5,5,5,3,3,4,3,1,5,7,0.0
Female,Loyal Customer,31,Business travel,Business,937,2,2,2,2,5,5,5,5,1,2,3,4,5,5,0,0.0
Female,Loyal Customer,56,Personal Travel,Eco Plus,372,3,4,5,1,4,4,5,2,2,5,2,5,2,3,0,0.0
Male,Loyal Customer,29,Personal Travel,Eco,413,3,2,3,2,5,3,5,5,1,4,3,4,3,5,38,31.0
Male,Loyal Customer,44,Business travel,Business,1416,3,3,3,3,3,5,5,4,4,4,4,5,4,3,5,12.0
Male,Loyal Customer,23,Business travel,Business,2517,1,0,0,3,5,0,5,5,1,3,4,4,4,5,0,0.0
Female,Loyal Customer,56,Business travel,Eco Plus,201,4,1,1,1,4,1,2,4,4,4,4,1,4,2,104,95.0
Male,disloyal Customer,36,Business travel,Business,236,3,3,3,4,1,3,1,1,4,1,3,1,3,1,23,37.0
Female,Loyal Customer,43,Business travel,Business,2421,1,1,5,1,5,4,5,5,5,5,5,5,5,4,0,0.0
Female,Loyal Customer,54,Personal Travel,Eco,1504,4,5,4,5,2,3,5,1,1,4,1,4,1,5,0,0.0
Female,Loyal Customer,51,Personal Travel,Eco,468,2,4,2,3,5,3,4,2,2,2,2,1,2,2,1,30.0
Male,Loyal Customer,38,Business travel,Business,2182,2,2,2,2,2,4,4,5,5,5,5,3,5,4,0,0.0
Female,Loyal Customer,43,Business travel,Eco,109,3,2,4,4,5,4,3,3,3,3,3,1,3,4,0,0.0
Female,Loyal Customer,40,Personal Travel,Eco,933,5,4,5,3,1,5,1,1,3,5,5,5,5,1,0,4.0
Male,Loyal Customer,42,Business travel,Business,3350,4,2,2,2,4,4,4,3,3,3,4,1,3,1,0,0.0
Male,Loyal Customer,43,Business travel,Business,2399,3,3,3,3,3,4,4,4,4,4,4,5,4,4,65,59.0
